id,timestamp,value,status,category,accuracy,confidence,performance,anomalyScore,description
ING-0001,2025-01-26T00:00:00Z,45.23,active,Category A,92.5,87.3,78.9,12.4,Normal operational data point
ING-0002,2025-01-26T01:00:00Z,52.87,active,Category B,88.7,91.2,82.1,8.7,Standard processing metrics
ING-0003,2025-01-26T02:00:00Z,38.91,pending,Category C,95.1,85.6,75.3,15.2,Awaiting validation
ING-0004,2025-01-26T03:00:00Z,61.45,completed,Category A,91.3,89.8,88.7,5.6,Successfully processed
ING-0005,2025-01-26T04:00:00Z,47.32,active,Category D,87.9,92.4,79.5,18.9,High confidence reading
ING-0006,2025-01-26T05:00:00Z,55.78,error,Category B,82.4,78.9,71.2,72.3,Anomaly detected - requires review
ING-0007,2025-01-26T06:00:00Z,42.16,active,Category E,94.2,88.1,85.4,9.8,Within normal parameters
ING-0008,2025-01-26T07:00:00Z,59.84,completed,Category C,90.6,93.7,87.9,6.4,Peak performance achieved
ING-0009,2025-01-26T08:00:00Z,36.29,pending,Category A,86.8,81.5,73.8,22.1,Moderate variance observed
ING-0010,2025-01-26T09:00:00Z,64.73,active,Category D,93.4,90.2,84.6,11.3,Stable operation confirmed
ING-0011,2025-01-26T10:00:00Z,49.57,active,Category B,89.1,86.9,80.2,14.7,Consistent performance
ING-0012,2025-01-26T11:00:00Z,53.92,completed,Category E,92.8,94.1,89.3,7.2,Optimal efficiency reached
ING-0013,2025-01-26T12:00:00Z,41.38,pending,Category C,85.5,83.2,76.9,19.8,Pending optimization
ING-0014,2025-01-26T13:00:00Z,58.21,active,Category A,91.7,88.4,83.1,10.5,Standard operational mode
ING-0015,2025-01-26T14:00:00Z,46.85,error,Category D,79.3,75.8,68.4,78.9,Critical anomaly - immediate action required
ING-0016,2025-01-26T15:00:00Z,62.14,completed,Category B,94.6,92.8,88.5,4.9,Excellent performance metrics
ING-0017,2025-01-26T16:00:00Z,37.96,active,Category E,88.2,85.7,78.4,16.3,Minor fluctuations detected
